ORDER,PID,GROUP,AI_USAGE_WORK,AI_USAGE_STUDY,AI_USAGE_ADVICE,AI_USAGE_CONTENT,AI_USAGE_OTHERS
236,324ba068-6c5b-f111-8fcb-0022486d65a5,CONTROL_T,Never,Sometimes,Never,Rarely,Often
242,874f1b8d-4d5f-f111-8fcb-0022486d65a5,CONTROL_T,Often,Often,Often,Often,Often
4,d8cca06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
8,a1cca06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
23,b65a1ed5-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Rarely,Rarely,Never
25,e24ba068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Sometimes,Often,Sometimes,Often,Often
31,f83019cf-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Often,Often,Sometimes,Often,Never
33,e4cca06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Sometimes,Never,Never
52,18d427db-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
57,48364c0a-ff5d-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Rarely,Never,Sometimes
67,8dde4004-ff5d-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Never,Never,Never,Never
71,465f0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
82,ec5b1ed5-6c5b-f111-8fcb-0022486d65a5,TREATMENT_E,Rarely,Never,Never,Never,Rarely
87,dd5d0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Often,Very often,Very often,Often
93,fc860cc2-c55e-f111-8fcb-0022486d65a5,TREATMENT_E,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
99,6a32f7bb-c55e-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Rarely,Rarely,Never
105,4e0bc9f4-c55e-f111-8fcb-0022486d65a5,TREATMENT_E,Often,Sometimes,Often,Often,Often
114,ae30f7bb-c55e-f111-8fcb-0022486d65a5,TREATMENT_E,Sometimes,Often,Sometimes,Often,Very often
121,d6822193-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Sometimes,Sometimes,Sometimes,I don't know
133,3f63a7ea-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Sometimes,Sometimes,Never,Sometimes,Never
141,261324a5-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
148,2a822193-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Very often,Very often,Very often,Very often
161,3533eedd-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Often,Rarely,Sometimes,Sometimes,Never
176,87c2e3d7-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Very often,Very often,Very often,Often
190,02151e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Often,Sometimes,Sometimes,Sometimes,Sometimes
192,fa171e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Very often,Very often,Very often,Very often
199,64c1e3d7-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Often,Rarely,Never,Rarely,Never
217,e3141e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Never,Never,Never
222,8e364c0a-ff5d-f111-8fcb-0022486d65a5,TREATMENT_E,Very often,Often,Sometimes,Sometimes,Rarely
232,371e189f-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Sometimes,Sometimes,Sometimes,Sometimes,Rarely
235,2733eedd-4d5f-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Never,Sometimes,Never,Never
238,d109c9f4-c55e-f111-8fcb-0022486d65a5,TREATMENT_E,Never,Rarely,Sometimes,Never,Never
1,574aa068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Never,Never,Never
10,85cca06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
16,a44aa068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Often,Sometimes,Sometimes,Often,Often
34,523319cf-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Often,Very often,Very often,Often
40,00cda06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Rarely,Never,Never
42,375c1ed5-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Never,Never,Rarely
48,0a4d13bd-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Sometimes,Often,Sometimes,Often
53,bb4c13bd-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Never,Often,Rarely,Rarely
66,84344c0a-ff5d-f111-8fcb-0022486d65a5,TREATMENT_H,Very often,Sometimes,Very often,Very often,I don't know
76,288e9c16-ff5d-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Never,Never,Never
77,484d13bd-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Rarely,Sometimes,Rarely
85,37de4004-ff5d-f111-8fcb-0022486d65a5,TREATMENT_H,Rarely,Rarely,Often,Sometimes,I don't know
96,b632f7bb-c55e-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Very often,Sometimes,Sometimes,Sometimes
98,d1860cc2-c55e-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Sometimes,Rarely,Rarely,Sometimes
112,62860cc2-c55e-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Never,Never,Never
118,ec5e0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Rarely,Sometimes,Sometimes,Never
139,37531b8d-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Often,Often,Often,Often,Often
154,0b802193-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Very often,Never,Sometimes,Never,Sometimes
156,551e189f-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Very often,Very often,Often,Very often,Often
160,180bc9f4-c55e-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Rarely,Sometimes,Often,Sometimes
169,011324a5-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Rarely,Rarely,Rarely,Sometimes
171,26181e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Often,Often,Sometimes,Sometimes,Sometimes
177,1e531b8d-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Rarely,Rarely,Rarely,Rarely,Rarely
179,71161e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Rarely,Rarely,Rarely,Rarely
187,5e161e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Rarely,Sometimes,Often,Sometimes,I don't know
193,f27f2193-4d5f-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Rarely,Rarely,Never,I don't know
214,875cd6fa-c55e-f111-8fcb-0022486d65a5,TREATMENT_H,Often,Sometimes,Sometimes,Often,I don't know
218,d85e0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Often,Sometimes,Often,Sometimes,Sometimes
220,7d5f0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Sometimes,Sometimes,Never,Never
225,5fde4004-ff5d-f111-8fcb-0022486d65a5,TREATMENT_H,Never,Never,Never,Never,Never
227,7fd327db-6c5b-f111-8fcb-0022486d65a5,TREATMENT_H,Sometimes,Rarely,Sometimes,Never,Never
3,cf5a1ed5-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Very often,Very often,Very often,Sometimes,Sometimes
13,d95b1ed5-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
15,164ca068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Very often,Very often,Often,Rarely,Sometimes
17,aa4aa068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Never,Never,Never,Never
38,5e49a068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Sometimes,Sometimes,Rarely
44,c2d327db-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Often,Very often,Sometimes
50,8d5f0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Rarely,Rarely,Rarely,I don't know
58,ce320cb7-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Often,Often,Often,Sometimes
62,5a4b13bd-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Often,Often,Often,Sometimes
73,425f0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Often,Often,Never,Often
79,d55e0bc3-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Sometimes,Rarely,Sometimes,Rarely,Rarely
86,2a1e4d10-ff5d-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Sometimes,Never,I don't know
90,9a31f7bb-c55e-f111-8fcb-0022486d65a5,TREATMENT_T,Very often,Often,Very often,Often,Very often
97,e33219cf-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Rarely,Rarely,Rarely,Never
110,26870cc2-c55e-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Sometimes,Never,Never
117,4f320cb7-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Often,Sometimes,Sometimes,Sometimes,Rarely
128,871e4d10-ff5d-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Never,Never,Never,Never
147,21cca06e-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Often,Often,Very often,Sometimes,Often
151,d38d9c16-ff5d-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Rarely,Sometimes,Never,Never
186,28171e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Very often,Very often,Very often,Often,Sometimes
195,d97f2193-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Sometimes,Never,Never,Never,Never
197,334aa068-6c5b-f111-8fcb-0022486d65a5,TREATMENT_T,Sometimes,Very often,Very often,Very often,Very often
202,18161e99-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Rarely,Very often,I don't know
203,f12feedd-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Sometimes,Often,Sometimes,Often,I don't know
206,0e320cb7-fe5d-f111-8fcb-0022486d65a5,TREATMENT_T,Often,Often,Sometimes,Sometimes,Sometimes
212,1a4762e4-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Rarely,Rarely,Never,Never
219,000ac9f4-c55e-f111-8fcb-0022486d65a5,TREATMENT_T,Rarely,Sometimes,Often,Never,Never
239,3f5cd6fa-c55e-f111-8fcb-0022486d65a5,TREATMENT_T,Often,Often,Very often,Sometimes,Very often
240,6b1324a5-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Never,Never,Rarely,Never,Never
241,491e189f-4d5f-f111-8fcb-0022486d65a5,TREATMENT_T,Often,Sometimes,Often,Never,Rarely
20,383219cf-6c5b-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
26,84d327db-6c5b-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
27,084ca068-6c5b-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
28,e5cca06e-6c5b-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Sometimes,Never,Never
43,03cda06e-6c5b-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
46,b23119cf-6c5b-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Often,Sometimes,Rarely,Sometimes
49,e58d9c16-ff5d-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
63,b4310cb7-fe5d-f111-8fcb-0022486d65a5,VIDEO,Rarely,Rarely,Sometimes,Often,Often
65,ed5b1ed5-6c5b-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Sometimes,Rarely,Sometimes,I don't know
69,784a13bd-fe5d-f111-8fcb-0022486d65a5,VIDEO,Often,Sometimes,Often,Sometimes,Often
83,693319cf-6c5b-f111-8fcb-0022486d65a5,VIDEO,Rarely,Rarely,Never,Never,Never
103,5c870cc2-c55e-f111-8fcb-0022486d65a5,VIDEO,Never,Rarely,Never,Never,I don't know
109,53870cc2-c55e-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
115,945e0bc3-fe5d-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Sometimes,Often,Rarely,I prefer not to answer
119,fc1d4d10-ff5d-f111-8fcb-0022486d65a5,VIDEO,Never,Often,Often,Rarely,Never
127,32364c0a-ff5d-f111-8fcb-0022486d65a5,VIDEO,Rarely,Never,Rarely,Never,Never
129,b1521b8d-4d5f-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
134,044762e4-4d5f-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Sometimes,Sometimes,Often,Sometimes
137,361e189f-4d5f-f111-8fcb-0022486d65a5,VIDEO,Very often,Often,Often,Often,I don't know
144,271f189f-4d5f-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Rarely,Rarely,Rarely,I don't know
153,144862e4-4d5f-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
158,1f181e99-4d5f-f111-8fcb-0022486d65a5,VIDEO,Rarely,Often,Often,Often,I don't know
163,bf4862e4-4d5f-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Never,Sometimes,Never,Never
168,7e1f189f-4d5f-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
170,3863a7ea-4d5f-f111-8fcb-0022486d65a5,VIDEO,Sometimes,Sometimes,Sometimes,Rarely,Never
173,601f189f-4d5f-f111-8fcb-0022486d65a5,VIDEO,Never,Never,Never,Never,Never
183,6e171e99-4d5f-f111-8fcb-0022486d65a5,VIDEO,Often,Often,Often,Often,Often
